Fecha,DI-001 NIVEL,PV Nivel FT310,FDBK Nivel FT310,OP Nivel FT310,PV Nivel FT311,FDBK Nivel FT311,OP Nivel FT311,PV Nivel FT312,FDBK Nivel FT312,OP Nivel FT312,PV Nivel FT313,FDBK Nivel FT313,OP Nivel FT313,PV Nivel FT314,FDBK Nivel FT314,OP Nivel FT314,PV Nivel FT315,FDBK Nivel FT315,OP Nivel FT315,PV Nivel FT316,FDBK Nivel FT316,OP Nivel FT316,PV Nivel FT317,FDBK Nivel FT317,OP Nivel FT317,PV Aire FT310,PV Aire FT311,PV Aire FT312,PV Aire FT313,PV Aire FT314,PV Aire FT315,PV Aire FT316,PV Aire FT317
2024-04-04T15:53:55.000Z,93.7861175537,20.5104446411,65.0076293945,65.0,9.4736833572,69.8038864136,70.1623916626,2.78734231,60.4665985107,60.8967323303,8.9920721054,95.0114593506,93.6158752441,8.127441406199999,49.6555099487,49.3891220093,6.7393507957,97.8963851929,99.6538238525,8.802901268,64.5681915283,65.4552307129,8.5317707062,63.7658195496,63.8482437134,60.8161239624,199.613067627,259.8260803223,90.1741027832,69.8874053955,70.0985107422,69.9701385498,60.2215690613
2024-04-04T15:54:00.000Z,93.8727722168,20.4743404388,64.9969406128,65.0,9.5609149933,69.8456344604,70.1314315796,2.7057559490000003,60.0268440247,60.6348838806,9.1773872375,95.2019882202,93.1698379517,8.1518383026,49.6111373901,49.1719093323,5.6998414993,98.9312973022,98.7168807983,8.7383384705,64.510055542,65.6045761108,8.5587615967,63.6993370056,64.0721817017,60.7161521912,199.5941467285,259.6444091797,90.1776657104,69.8906097412,70.0843429565,69.866394043,60.2310714722
2024-04-04T15:54:05.000Z,93.9594268799,20.4382381439,64.9862442017,65.0,9.6481456757,69.8240966797,70.0710296631,2.7398788929,59.3969764709,59.8063240051,9.4827079773,95.1414337158,92.8853225708,8.1762361526,49.4179611206,49.0152168274,5.5114622116,98.6549072266,96.5272598267,8.4760980606,64.5936050415,65.5506134033,8.4066095352,63.8145828247,64.4110412598,60.6161766052,199.6146087646,259.5663452148,90.1812210083,69.8938217163,70.0701751709,69.8098373413,60.2405738831
2024-04-04T15:54:10.000Z,94.0782470703,20.5625038147,64.9775390625,65.0,9.7353773117,69.7004165649,70.0106201172,2.9607229233,58.4603233337,58.9777679443,9.9816846848,94.6756896973,92.6008148193,8.200633049,48.9846572876,48.8585281372,6.6965546608,96.2624435425,94.337638855,7.8948669434,64.9057998657,65.4966506958,7.9653725624,64.2230911255,64.7499008179,60.4998588562,199.6985931396,259.6555786133,90.1847763062,69.8970336914,70.0560073853,69.8294296265,60.2500762939
2024-04-04T15:54:15.000Z,94.3382110596,21.3904685974,64.9775390625,65.0,9.8226079941,69.5767364502,69.9217910767,3.1815669537,57.5236701965,58.5836906433,10.4806604385,94.2099380493,92.661819458,8.225030899,48.5513572693,48.7974891663,7.88164711,93.8699874878,94.1633377075,7.3136353493,65.2179946899,65.3182983398,7.5241360664,64.6315917969,64.7269287109,60.3118400574,199.7825622559,259.7447814941,90.1883392334,69.9002380371,70.0418395996,69.8490219116,60.2595787048
2024-04-04T15:54:20.000Z,94.5981750488,22.2184333801,64.9775390625,65.0,9.9098396301,69.4530639648,69.8128509521,3.3164150715,57.2255897522,58.4970817566,10.8605670929,93.7441940308,92.9673461914,8.2494287491,48.2679595947,48.8041419983,8.4680423737,92.9089431763,95.4152069092,7.1657719612,65.3903808594,65.0519180298,7.2935695648,64.7917327881,64.4479141235,60.1238250732,199.8093109131,259.8340148926,90.1918945312,69.9034500122,70.0375518799,69.8686141968,60.2690811157
2024-04-04T15:54:25.000Z,94.8007354736,22.8928890228,64.9755630493,65.0,9.9970712662,69.3293838501,69.7039031982,3.3141241074,57.9458503723,58.4104728699,11.0505895615,93.2784500122,93.2728652954,8.2738256454,48.2236099243,48.8107948303,8.0996809006,94.2306060791,96.6670684814,7.7090110779,65.3398284912,64.7855377197,7.3989644051,64.5558013916,64.1688995361,60.0072402954,199.7447509766,259.9232177734,90.1954574585,69.9066619873,70.0490264893,69.8882141113,60.2785835266
2024-04-04T15:54:30.000Z,94.7507476807,22.8919754028,64.9648742676,65.0,10.0843019485,69.2057037354,69.6753921509,3.3118329048,58.6661148071,58.5438079834,11.24061203,92.8127059937,93.248588562,8.2982234955,48.1792640686,48.7226791382,7.7313199043,95.5522689819,97.085105896,8.2522506714,65.289276123,64.621307373,7.5043592453,64.3198776245,64.1238174438,60.2049255371,199.6802062988,260.0124206543,90.1990127563,69.9098739624,70.0605010986,69.9078063965,60.2880859375
2024-04-04T15:54:35.000Z,94.7007522583,22.8910598755,64.9541931152,65.0,10.1140680313,69.2240066528,69.7038879395,3.3095419407,58.8534011841,58.8330497742,11.2178516388,92.6706466675,92.9905471802,8.3381967545,48.2239303589,48.5673942566,7.6589097977,96.1612014771,96.9121170044,8.5363912582,65.2387161255,64.5294876099,7.5460400581,64.2202148438,64.2445602417,60.4026145935,199.6992034912,260.1016540527,90.2025756836,69.9130783081,70.0719680786,69.9273986816,60.2975883484
2024-04-04T15:54:40.000Z,94.6575317383,22.8135089874,64.9454803467,65.0,10.0508670807,69.4719924927,69.732383728,3.3072507381,58.178440094,59.1222915649,10.8508481979,93.0522689819,92.7325057983,8.4033679962,48.4126052856,48.412109375,8.0652952194,95.6170730591,96.7391204834,8.4013586044,65.1881637573,64.4376602173,7.4846429825000005,64.3410110474,64.3652954102,60.6135101318,199.8533477783,260.1908569336,90.2061309814,69.9162902832,70.083442688,69.9469985962,60.3070907593
